"Code","Attribute","Acronym","Attributetype","Class"
165,"Tide, current - time interval of values",T_TINT,I,F
166,Tide - time series values,T_TSVL,A,F
167,Tide - value of harmonic constituents,T_VAHC,A,F
168,Time end,TIMEND,A,F
169,Time start,TIMSTA,A,F
170,Tint,$TINTS,E,$
171,Topmark/daymark shape,TOPSHP,E,F
172,Traffic flow,TRAFIC,E,F
173,Value of annual change in magnetic variation,VALACM,F,F
174,Value of depth contour,VALDCO,F,F
175,Value of local magnetic anomaly,VALLMA,F,F
176,Value of magnetic variation,VALMAG,F,F
177,Value of maximum range,VALMXR,F,F
178,Value of nominal range,VALNMR,F,F
179,Value of sounding,VALSOU,F,F
180,Vertical accuracy,VERACC,F,F
181,Vertical clearance,VERCLR,F,F
182,"Vertical clearance, closed",VERCCL,F,F
183,"Vertical clearance, open",VERCOP,F,F
184,"Vertical clearance, safe",VERCSA,F,F
185,Vertical datum,VERDAT,E,F
186,Vertical length,VERLEN,F,F
187,Water level effect,WATLEV,E,F
188,Category of Tidal stream,CAT_TS,E,F
189,Positional accuracy units,PUNITS,E,F
300,Information in national language,NINFOM,S,N
301,Object name in national language,NOBJNM,S,N
302,Pilot district in national language,NPLDST,S,N
303,Text string in national language,$NTXST,S,N
304,Textual description in national language,NTXTDS,S,N
400,Horizontal datum,HORDAT,E,S
401,Positional Accuracy,POSACC,F,S
402,Quality of position,QUAPOS,E,S
17000,Category of Anchorage area,catach,L,F
17001,Category of distance mark,catdis,E,F
17002,Category of signal station trafficcatsit,catsit,L,F
17003,Category of signal station warning,catsiw,L,F
17004,Restriction,restrn,L,F
17005,Vertical datum,verdat,E,F
17006,Category of bridge,catbrg,L,F
17007,Category of ferry,catfry,L,F
17008,Category of harbour facilities,cathaf,L,F
17009,"Marks navigational – System of",marsys,E,F
17050,Additional mark,addmrk,L,F
17051,Category of bank,catbnk,E,F
17052,Category of notice mark,catnmk,E,F
17055,Class of dangerous cargo,clsdng,E,F
17056,Direction of impact,dirimp,L,F
17057,Distance from bank,disbk1,F,F
17058,Distance from bank,disbk2,F,F
17059,"Distance of impact, upstream",disipu,F,F
17060,"Distance of impact, downstream",disipd,F,F
17061,Elevation 1,eleva1,F,F
17062,Elevation 2,eleva2,F,F
17063,Function of notice mark,fnctnm,E,F
17064,Waterway distance,wtwdis,F,F
17065,Bunker vessel,bunves,E,F
17066,Category of berth,catbrt,L,F
17067,Category of bunker,catbun,L,F
17068,Category of CEMT class,catccl,L,F
17069,Category of communication,catcom,L,F
17070,Category of harbour area,cathbr,L,F
17071,Category of refuse dump,catrfd,L,F
17072,Category of terminal,cattml,L,F
17073,Communication,comctn,S,F
17074,"Horizontal clearance, length",horcll,F,F
17075,"Horizontal clearance, width",horclw,F,F
17076,Transshipping goods,trshgd,L,F
17077,UN Location Code,unlocd,S,F
17112,Category of waterway mark,catwwm,E,F
40000,Update message,updmsg,S,F
