    h   V  C    x      y      Y
 7.5BG  1  2 0.2430 0.3023  1.210
 7.5BG  1  4 0.1702 0.2768  1.210
 7.5BG  1  6 0.1059 0.2485  1.210
  10BG  1  2 0.2362 0.2882  1.210
  10BG  1  4 0.1658 0.2496  1.210
  10BG  1  6 0.1074 0.2129  1.210
  2.5B  1  2 0.2322 0.2781  1.210
  2.5B  1  4 0.1649 0.2324  1.210
  2.5B  1  6 0.1118 0.1908  1.210
    5B  1  2 0.2291 0.2677  1.210
    5B  1  4 0.1667 0.2168  1.210
    5B  1  6 0.1212 0.1745  1.210
  7.5B  1  2 0.2291 0.2579  1.210
  7.5B  1  4 0.1716 0.2048  1.210
  7.5B  1  6 0.1303 0.1639  1.210
  7.5B  1  8 0.0968 0.1280  1.210
   10B  1  2 0.2309 0.2491  1.210
   10B  1  4 0.1783 0.1974  1.210
   10B  1  6 0.1392 0.1563  1.210
   10B  1  8 0.1077 0.1218  1.210
 2.5PB  1  2 0.2360 0.2420  1.210
 2.5PB  1  4 0.1895 0.1911  1.210
 2.5PB  1  6 0.1539 0.1491  1.210
 2.5PB  1  8 0.1273 0.1157  1.210
   5PB  1  2 0.2427 0.2368  1.210
   5PB  1  4 0.2012 0.1867  1.210
   5PB  1  6 0.1678 0.1447  1.210
   5PB  1  8 0.1447 0.1124  1.210
   5PB  1 10 0.1285 0.0870  1.210
 7.5PB  1  2 0.2547 0.2310  1.210
 7.5PB  1  4 0.2232 0.1821  1.210
 7.5PB  1  6 0.2000 0.1422  1.210
 7.5PB  1  8 0.1872 0.1141  1.210
 7.5PB  1 10 0.1804 0.0950  1.210
 7.5PB  1 12 0.1763 0.0804  1.210
 7.5PB  1 14 0.1738 0.0688  1.210
 7.5PB  1 16 0.1720 0.0583  1.210
 7.5PB  1 18 0.1709 0.0518  1.210
 7.5PB  1 20 0.1701 0.0454  1.210
 7.5PB  1 22 0.1696 0.0402  1.210
 7.5PB  1 24 0.1691 0.0352  1.210
 7.5PB  1 26 0.1689 0.0309  1.210
 7.5PB  1 28 0.1686 0.0270  1.210
 7.5PB  1 30 0.1684 0.0234  1.210
 7.5PB  1 32 0.1682 0.0202  1.210
 7.5PB  1 34 0.1682 0.0180  1.210
 7.5PB  1 36 0.1681 0.0160  1.210
 7.5PB  1 38 0.1680 0.0140  1.210
  10PB  1  2 0.2677 0.2280  1.210
  10PB  1  4 0.2459 0.1828  1.210
  10PB  1  6 0.2290 0.1470  1.210
  10PB  1  8 0.2190 0.1228  1.210
  10PB  1 10 0.2120 0.1029  1.210
  10PB  1 12 0.2070 0.0869  1.210
  10PB  1 14 0.2038 0.0745  1.210
  10PB  1 16 0.2008 0.0638  1.210
  10PB  1 18 0.1991 0.0564  1.210
  10PB  1 20 0.1976 0.0493  1.210
  10PB  1 22 0.1965 0.0436  1.210
  10PB  1 24 0.1952 0.0380  1.210
  10PB  1 26 0.1942 0.0326  1.210
  10PB  1 28 0.1936 0.0281  1.210
  10PB  1 30 0.1928 0.0240  1.210
  2.5P  1  2 0.2808 0.2296  1.210
  2.5P  1  4 0.2668 0.1874  1.210
  2.5P  1  6 0.2570 0.1559  1.210
  2.5P  1  8 0.2496 0.1303  1.210
  2.5P  1 10 0.2441 0.1112  1.210
  2.5P  1 12 0.2394 0.0940  1.210
  2.5P  1 14 0.2361 0.0810  1.210
  2.5P  1 16 0.2331 0.0696  1.210
  2.5P  1 18 0.2312 0.0618  1.210
  2.5P  1 20 0.2295 0.0542  1.210
  2.5P  1 22 0.2279 0.0473  1.210
  2.5P  1 24 0.2266 0.0418  1.210
  2.5P  1 26 0.2251 0.0355  1.210
    5P  1  2 0.2936 0.2330  1.210
    5P  1  4 0.2854 0.1927  1.210
    5P  1  6 0.2794 0.1628  1.210
    5P  1  8 0.2742 0.1375  1.210
    5P  1 10 0.2701 0.1178  1.210
    5P  1 12 0.2670 0.1006  1.210
    5P  1 14 0.2645 0.0863  1.210
    5P  1 16 0.2625 0.0746  1.210
    5P  1 18 0.2612 0.0667  1.210
    5P  1 20 0.2601 0.0586  1.210
    5P  1 22 0.2590 0.0509  1.210
  7.5P  1  2 0.3030 0.2361  1.210
  7.5P  1  4 0.2991 0.1974  1.210
  7.5P  1  6 0.2960 0.1682  1.210
  7.5P  1  8 0.2932 0.1429  1.210
  7.5P  1 10 0.2905 0.1229  1.210
  7.5P  1 12 0.2884 0.1059  1.210
  7.5P  1 14 0.2868 0.0903  1.210
  7.5P  1 16 0.2852 0.0790  1.210
  7.5P  1 18 0.2841 0.0706  1.210
  7.5P  1 20 0.2831 0.0625  1.210
   10P  1  2 0.3132 0.2404  1.210
   10P  1  4 0.3132 0.2032  1.210
   10P  1  6 0.3126 0.1737  1.210
   10P  1  8 0.3114 0.1481  1.210
   10P  1 10 0.3102 0.1282  1.210
   10P  1 12 0.3094 0.1110  1.210
   10P  1 14 0.3084 0.0952  1.210
   10P  1 16 0.3078 0.0839  1.210
   10P  1 18 0.3069 0.0748  1.210
 2.5RP  1  2 0.3240 0.2459  1.210
 2.5RP  1  4 0.3290 0.2095  1.210
 2.5RP  1  6 0.3321 0.1811  1.210
 2.5RP  1  8 0.3342 0.1551  1.210
 2.5RP  1 10 0.3354 0.1351  1.210
 2.5RP  1 12 0.3361 0.1181  1.210
 2.5RP  1 14 0.3368 0.1020  1.210
 2.5RP  1 16 0.3368 0.0902  1.210
   5RP  1  2 0.3378 0.2542  1.210
   5RP  1  4 0.3503 0.2196  1.210
   5RP  1  6 0.3588 0.1920  1.210
   5RP  1  8 0.3660 0.1662  1.210
   5RP  1 10 0.3727 0.1458  1.210
   5RP  1 12 0.3772 0.1283  1.210
   5RP  1 14 0.3811 0.1138  1.210
 7.5RP  1  2 0.3498 0.2617  1.210
 7.5RP  1  4 0.3705 0.2300  1.210
 7.5RP  1  6 0.3865 0.2036  1.210
 7.5RP  1  8 0.4005 0.1793  1.210
 7.5RP  1 10 0.4132 0.1580  1.210
 7.5RP  1 12 0.4240 0.1400  1.210
  10RP  2  2 0.3532 0.2957  3.126
  10RP  2  4 0.3850 0.2778  3.126
  10RP  2  6 0.4139 0.2608  3.126
  10RP  2  8 0.4428 0.2419  3.126
  10RP  2 10 0.4678 0.2237  3.126
  10RP  2 12 0.4911 0.2060  3.126
  10RP  2 14 0.5129 0.1888  3.126
  2.5R  2  2 0.3614 0.3033  3.126
  2.5R  2  4 0.4021 0.2900  3.126
  2.5R  2  6 0.4390 0.2760  3.126
  2.5R  2  8 0.4776 0.2593  3.126
  2.5R  2 10 0.5122 0.2428  3.126
  2.5R  2 12 0.5438 0.2254  3.126
  2.5R  2 14 0.5734 0.2083  3.126
    5R  2  2 0.3692 0.3111  3.126
    5R  2  4 0.4184 0.3032  3.126
    5R  2  6 0.4642 0.2934  3.126
    5R  2  8 0.5143 0.2800  3.126
    5R  2 10 0.5557 0.2633  3.126
    5R  2 12 0.5930 0.2465  3.126
    5R  2 14 0.6302 0.2287  3.126
  7.5R  2  2 0.3751 0.3181  3.126
  7.5R  2  4 0.4335 0.3169  3.126
  7.5R  2  6 0.4875 0.3123  3.126
  7.5R  2  8 0.5433 0.3027  3.126
  7.5R  2 10 0.5952 0.2874  3.126
  7.5R  2 12 0.6392 0.2704  3.126
  7.5R  2 14 0.6791 0.2520  3.126
   10R  2  2 0.3811 0.3274  3.126
   10R  2  4 0.4481 0.3330  3.126
   10R  2  6 0.5095 0.3331  3.126
   10R  2  8 0.5713 0.3259  3.126
   10R  2 10 0.6247 0.3120  3.126
   10R  2 12 0.6732 0.2937  3.126
   10R  2 14 0.7165 0.2734  3.126
 2.5YR  2  2 0.3852 0.3365  3.126
 2.5YR  2  4 0.4598 0.3508  3.126
 2.5YR  2  6 0.5280 0.3581  3.126
 2.5YR  2  8 0.5995 0.3590  3.126
   5YR  2  2 0.3880 0.3476  3.126
   5YR  2  4 0.4674 0.3738  3.126
   5YR  2  6 0.5426 0.3925  3.126
 7.5YR  2  2 0.3889 0.3590  3.126
 7.5YR  2  4 0.4690 0.3964  3.126
 7.5YR  2  6 0.5475 0.4271  3.126
  10YR  2  2 0.3872 0.3688  3.126
  10YR  2  4 0.4676 0.4168  3.126
  2.5Y  2  2 0.3825 0.3785  3.126
  2.5Y  2  4 0.4627 0.4392  3.126
    5Y  2  2 0.3757 0.3839  3.126
    5Y  2  4 0.4543 0.4573  3.126
  7.5Y  2  2 0.3660 0.3858  3.126
  7.5Y  2  4 0.4401 0.4723  3.126
   10Y  2  2 0.3556 0.3848  3.126
   10Y  2  4 0.4188 0.4789  3.126
 2.5GY  2  2 0.3421 0.3803  3.126
 2.5GY  2  4 0.3881 0.4752  3.126
   5GY  2  2 0.3309 0.3743  3.126
   5GY  2  4 0.3582 0.4650  3.126
   5GY  2  6 0.3839 0.5748  3.126
 7.5GY  2  2 0.3165 0.3650  3.126
 7.5GY  2  4 0.3248 0.4457  3.126
 7.5GY  2  6 0.3260 0.5379  3.126
 7.5GY  2  8 0.3160 0.6509  3.126
  10GY  2  2 0.3069 0.3580  3.126
  10GY  2  4 0.2986 0.4240  3.126
  10GY  2  6 0.2852 0.4972  3.126
  10GY  2  8 0.2628 0.5837  3.126
  10GY  2 10 0.2307 0.6814  3.126
  10GY  2 12 0.1907 0.7798  3.126
  2.5G  2  2 0.2978 0.3507  3.126
  2.5G  2  4 0.2763 0.3998  3.126
  2.5G  2  6 0.2493 0.4522  3.126
  2.5G  2  8 0.2192 0.5042  3.126
  2.5G  2 10 0.1773 0.5698  3.126
  2.5G  2 12 0.1307 0.6308  3.126
  2.5G  2 14 0.0820 0.6860  3.126
  2.5G  2 16 0.0329 0.7358  3.126
    5G  2  2 0.2918 0.3450  3.126
    5G  2  4 0.2640 0.3845  3.126
    5G  2  6 0.2318 0.4231  3.126
    5G  2  8 0.1979 0.4583  3.126
    5G  2 10 0.1560 0.4981  3.126
    5G  2 12 0.1120 0.5358  3.126
    5G  2 14 0.0688 0.5691  3.126
    5G  2 16 0.0277 0.5986  3.126
  7.5G  2  2 0.2869 0.3400  3.126
  7.5G  2  4 0.2540 0.3705  3.126
  7.5G  2  6 0.2200 0.3983  3.126
  7.5G  2  8 0.1842 0.4244  3.126
  7.5G  2 10 0.1442 0.4505  3.126
  7.5G  2 12 0.1022 0.4759  3.126
  7.5G  2 14 0.0629 0.4973  3.126
  7.5G  2 16 0.0276 0.5153  3.126
   10G  2  2 0.2820 0.3341  3.126
   10G  2  4 0.2442 0.3559  3.126
   10G  2  6 0.2092 0.3739  3.126
   10G  2  8 0.1705 0.3911  3.126
   10G  2 10 0.1321 0.4059  3.126
   10G  2 12 0.0934 0.4183  3.126
   10G  2 14 0.0599 0.4270  3.126
   10G  2 16 0.0285 0.4327  3.126
 2.5BG  2  2 0.2765 0.3271  3.126
 2.5BG  2  4 0.2343 0.3378  3.126
 2.5BG  2  6 0.1971 0.3452  3.126
 2.5BG  2  8 0.1557 0.3517  3.126
 2.5BG  2 10 0.1190 0.3551  3.126
 2.5BG  2 12 0.0851 0.3576  3.126
 2.5BG  2 14 0.0555 0.3588  3.126
   5BG  2  2 0.2697 0.3175  3.126
   5BG  2  4 0.2234 0.3150  3.126
   5BG  2  6 0.1843 0.3110  3.126
   5BG  2  8 0.1405 0.3037  3.126
   5BG  2 10 0.1050 0.2956  3.126
   5BG  2 12 0.0769 0.2880  3.126
 7.5BG  2  2 0.2651 0.3098  3.126
 7.5BG  2  4 0.2162 0.2981  3.126
 7.5BG  2  6 0.1747 0.2853  3.126
 7.5BG  2  8 0.1325 0.2710  3.126
 7.5BG  2 10 0.0991 0.2582  3.126
 7.5BG  2 12 0.0724 0.2478  3.126
  10BG  2  2 0.2606 0.3010  3.126
  10BG  2  4 0.2096 0.2790  3.126
  10BG  2  6 0.1669 0.2570  3.126
  10BG  2  8 0.1258 0.2331  3.126
  10BG  2 10 0.0929 0.2133  3.126
  2.5B  2  2 0.2578 0.2940  3.126
  2.5B  2  4 0.2060 0.2649  3.126
  2.5B  2  6 0.1621 0.2358  3.126
  2.5B  2  8 0.1230 0.2076  3.126
  2.5B  2 10 0.0911 0.1828  3.126
    5B  2  2 0.2559 0.2874  3.126
    5B  2  4 0.2048 0.2518  3.126
    5B  2  6 0.1617 0.2162  3.126
    5B  2  8 0.1245 0.1827  3.126
    5B  2 10 0.0965 0.1558  3.126
  7.5B  2  2 0.2545 0.2799  3.126
  7.5B  2  4 0.2063 0.2400  3.126
  7.5B  2  6 0.1658 0.2026  3.126
  7.5B  2  8 0.1313 0.1692  3.126
  7.5B  2 10 0.1051 0.1422  3.126
   10B  2  2 0.2558 0.2725  3.126
   10B  2  4 0.2102 0.2313  3.126
   10B  2  6 0.1716 0.1937  3.126
   10B  2  8 0.1396 0.1603  3.126
   10B  2 10 0.1157 0.1346  3.126
 2.5PB  2  2 0.2592 0.2675  3.126
 2.5PB  2  4 0.2175 0.2245  3.126
 2.5PB  2  6 0.1825 0.1857  3.126
 2.5PB  2  8 0.1540 0.1530  3.126
 2.5PB  2 10 0.1332 0.1278  3.126
 2.5PB  2 12 0.1166 0.1076  3.126
   5PB  2  2 0.2638 0.2624  3.126
   5PB  2  4 0.2263 0.2192  3.126
   5PB  2  6 0.1942 0.1811  3.126
   5PB  2  8 0.1685 0.1491  3.126
   5PB  2 10 0.1500 0.1240  3.126
   5PB  2 12 0.1363 0.1048  3.126
   5PB  2 14 0.1253 0.0873  3.126
 7.5PB  2  2 0.2712 0.2582  3.126
 7.5PB  2  4 0.2420 0.2148  3.126
 7.5PB  2  6 0.2189 0.1790  3.126
 7.5PB  2  8 0.2005 0.1495  3.126
 7.5PB  2 10 0.1882 0.1258  3.126
 7.5PB  2 12 0.1813 0.1094  3.126
 7.5PB  2 14 0.1762 0.0955  3.126
 7.5PB  2 16 0.1728 0.0839  3.126
 7.5PB  2 18 0.1701 0.0742  3.126
 7.5PB  2 20 0.1685 0.0666  3.126
 7.5PB  2 22 0.1670 0.0594  3.126
 7.5PB  2 24 0.1660 0.0538  3.126
 7.5PB  2 26 0.1653 0.0492  3.126
 7.5PB  2 28 0.1647 0.0451  3.126
 7.5PB  2 30 0.1640 0.0409  3.126
 7.5PB  2 32 0.1635 0.0373  3.126
 7.5PB  2 34 0.1630 0.0340  3.126
 7.5PB  2 36 0.1628 0.0310  3.126
 7.5PB  2 38 0.1623 0.0280  3.126
  10PB  2  2 0.2803 0.2567  3.126
  10PB  2  4 0.2600 0.2162  3.126
  10PB  2  6 0.2440 0.1840  3.126
  10PB  2  8 0.2294 0.1551  3.126
  10PB  2 10 0.2200 0.1330  3.126
  10PB  2 12 0.2139 0.1170  3.126
  10PB  2 14 0.2087 0.1026  3.126
  10PB  2 16 0.2052 0.0910  3.126
  10PB  2 18 0.2021 0.0808  3.126
  10PB  2 20 0.1998 0.0718  3.126
  10PB  2 22 0.1978 0.0643  3.126
  10PB  2 24 0.1962 0.0578  3.126
  10PB  2 26 0.1949 0.0520  3.126
  10PB  2 28 0.1937 0.0471  3.126
  10PB  2 30 0.1925 0.0420  3.126
  10PB  2 32 0.1918 0.0379  3.126
  10PB  2 34 0.1911 0.0344  3.126
  2.5P  2  2 0.2892 0.2583  3.126
  2.5P  2  4 0.2758 0.2208  3.126
  2.5P  2  6 0.2661 0.1921  3.126
  2.5P  2  8 0.2570 0.1635  3.126
  2.5P  2 10 0.2501 0.1422  3.126
  2.5P  2 12 0.2449 0.1245  3.126
  2.5P  2 14 0.2406 0.1100  3.126
  2.5P  2 16 0.2372 0.0980  3.126
  2.5P  2 18 0.2345 0.0873  3.126
  2.5P  2 20 0.2320 0.0779  3.126
  2.5P  2 22 0.2298 0.0696  3.126
  2.5P  2 24 0.2277 0.0621  3.126
  2.5P  2 26 0.2260 0.0555  3.126
  2.5P  2 28 0.2245 0.0491  3.126
  2.5P  2 30 0.2231 0.0432  3.126
    5P  2  2 0.2984 0.2612  3.126
    5P  2  4 0.2908 0.2261  3.126
    5P  2  6 0.2850 0.1992  3.126
    5P  2  8 0.2791 0.1707  3.126
    5P  2 10 0.2748 0.1500  3.126
    5P  2 12 0.2709 0.1320  3.126
    5P  2 14 0.2676 0.1163  3.126
    5P  2 16 0.2652 0.1045  3.126
    5P  2 18 0.2632 0.0935  3.126
    5P  2 20 0.2612 0.0838  3.126
    5P  2 22 0.2597 0.0750  3.126
    5P  2 24 0.2582 0.0669  3.126
    5P  2 26 0.2569 0.0594  3.126
    5P  2 28 0.2559 0.0525  3.126
  7.5P  2  2 0.3071 0.2647  3.126
  7.5P  2  4 0.3048 0.2321  3.126
  7.5P  2  6 0.3025 0.2058  3.126
  7.5P  2  8 0.3000 0.1781  3.126
  7.5P  2 10 0.2979 0.1569  3.126
  7.5P  2 12 0.2956 0.1392  3.126
  7.5P  2 14 0.2938 0.1235  3.126
  7.5P  2 16 0.2922 0.1106  3.126
  7.5P  2 18 0.2912 0.0995  3.126
  7.5P  2 20 0.2902 0.0901  3.126
  7.5P  2 22 0.2890 0.0799  3.126
  7.5P  2 24 0.2882 0.0719  3.126
   10P  2  2 0.3161 0.2691  3.126
   10P  2  4 0.3189 0.2390  3.126
   10P  2  6 0.3207 0.2132  3.126
   10P  2  8 0.3219 0.1862  3.126
   10P  2 10 0.3230 0.1659  3.126
   10P  2 12 0.3233 0.1477  3.126
   10P  2 14 0.3235 0.1317  3.126
   10P  2 16 0.3235 0.1181  3.126
   10P  2 18 0.3233 0.1063  3.126
   10P  2 20 0.3231 0.0962  3.126
   10P  2 22 0.3230 0.0861  3.126
 2.5RP  2  2 0.3279 0.2754  3.126
 2.5RP  2  4 0.3382 0.2496  3.126
 2.5RP  2  6 0.3470 0.2259  3.126
 2.5RP  2  8 0.3555 0.2003  3.126
 2.5RP  2 10 0.3617 0.1800  3.126
 2.5RP  2 12 0.3668 0.1618  3.126
 2.5RP  2 14 0.3711 0.1449  3.126
 2.5RP  2 16 0.3748 0.1310  3.126
 2.5RP  2 18 0.3778 0.1188  3.126
 2.5RP  2 20 0.3802 0.1080  3.126
   5RP  2  2 0.3383 0.2829  3.126
   5RP  2  4 0.3558 0.2597  3.126
   5RP  2  6 0.3708 0.2380  3.126
   5RP  2  8 0.3858 0.2140  3.126
   5RP  2 10 0.3971 0.1939  3.126
   5RP  2 12 0.4080 0.1764  3.126
   5RP  2 14 0.4180 0.1598  3.126
   5RP  2 16 0.4269 0.1454  3.126
   5RP  2 18 0.4338 0.1340  3.126
 7.5RP  2  2 0.3459 0.2892  3.126
 7.5RP  2  4 0.3702 0.2683  3.126
 7.5RP  2  6 0.3918 0.2490  3.126
 7.5RP  2  8 0.4137 0.2276  3.126
 7.5RP  2 10 0.4321 0.2082  3.126
 7.5RP  2 12 0.4481 0.1903  3.126
 7.5RP  2 14 0.4624 0.1737  3.126
 7.5RP  2 16 0.4744 0.1595  3.126
  10RP  3  2 0.3526 0.3068  6.555
  10RP  3  4 0.3889 0.2969  6.555
  10RP  3  6 0.4218 0.2864  6.555
  10RP  3  8 0.4552 0.2741  6.555
  10RP  3 10 0.4851 0.2618  6.555
  10RP  3 12 0.5139 0.2489  6.555
  10RP  3 14 0.5380 0.2369  6.555
  10RP  3 16 0.5628 0.2241  6.555
  2.5R  3  2 0.3591 0.3130  6.555
  2.5R  3  4 0.4021 0.3076  6.555
  2.5R  3  6 0.4409 0.3009  6.555
  2.5R  3  8 0.4821 0.2918  6.555
  2.5R  3 10 0.5191 0.2811  6.555
  2.5R  3 12 0.5536 0.2691  6.555
  2.5R  3 14 0.5828 0.2579  6.555
  2.5R  3 16 0.6116 0.2456  6.555
    5R  3  2 0.3645 0.3190  6.555
    5R  3  4 0.4148 0.3190  6.555
    5R  3  6 0.4592 0.3168  6.555
    5R  3  8 0.5064 0.3114  6.555
    5R  3 10 0.5500 0.3024  6.555
    5R  3 12 0.5884 0.2904  6.555
    5R  3 14 0.6204 0.2789  6.555
    5R  3 16 0.6520 0.2660  6.555
  7.5R  3  2 0.3690 0.3248  6.555
  7.5R  3  4 0.4240 0.3302  6.555
  7.5R  3  6 0.4738 0.3316  6.555
  7.5R  3  8 0.5251 0.3297  6.555
  7.5R  3 10 0.5730 0.3240  6.555
  7.5R  3 12 0.6158 0.3129  6.555
  7.5R  3 14 0.6492 0.3012  6.555
  7.5R  3 16 0.6817 0.2872  6.555
   10R  3  2 0.3728 0.3314  6.555
   10R  3  4 0.4308 0.3412  6.555
   10R  3  6 0.4854 0.3467  6.555
   10R  3  8 0.5393 0.3477  6.555
   10R  3 10 0.5871 0.3440  6.555
   10R  3 12 0.6322 0.3361  6.555
   10R  3 14 0.6703 0.3249  6.555
 2.5YR  3  2 0.3757 0.3391  6.555
 2.5YR  3  4 0.4360 0.3563  6.555
 2.5YR  3  6 0.4954 0.3692  6.555
 2.5YR  3  8 0.5475 0.3771  6.555
 2.5YR  3 10 0.5941 0.3818  6.555
   5YR  3  2 0.3771 0.3476  6.555
   5YR  3  4 0.4376 0.3715  6.555
   5YR  3  6 0.4966 0.3908  6.555
   5YR  3  8 0.5456 0.4040  6.555
 7.5YR  3  2 0.3771 0.3549  6.555
 7.5YR  3  4 0.4378 0.3865  6.555
 7.5YR  3  6 0.4930 0.4116  6.555
 7.5YR  3  8 0.5390 0.4306  6.555
  10YR  3  2 0.3747 0.3630  6.555
  10YR  3  4 0.4341 0.4018  6.555
  10YR  3  6 0.4872 0.4326  6.555
  10YR  3  8 0.5305 0.4559  6.555
  2.5Y  3  2 0.3703 0.3700  6.555
  2.5Y  3  4 0.4277 0.4166  6.555
  2.5Y  3  6 0.4784 0.4531  6.555
    5Y  3  2 0.3646 0.3748  6.555
    5Y  3  4 0.4191 0.4283  6.555
    5Y  3  6 0.4670 0.4711  6.555
  7.5Y  3  2 0.3589 0.3778  6.555
  7.5Y  3  4 0.4086 0.4379  6.555
  7.5Y  3  6 0.4526 0.4889  6.555
   10Y  3  2 0.3513 0.3789  6.555
   10Y  3  4 0.3961 0.4452  6.555
   10Y  3  6 0.4345 0.5026  6.555
 2.5GY  3  2 0.3412 0.3768  6.555
 2.5GY  3  4 0.3772 0.4484  6.555
 2.5GY  3  6 0.4069 0.5110  6.555
   5GY  3  2 0.3319 0.3729  6.555
   5GY  3  4 0.3554 0.4429  6.555
   5GY  3  6 0.3750 0.5109  6.555
   5GY  3  8 0.3924 0.5832  6.555
 7.5GY  3  2 0.3180 0.3644  6.555
 7.5GY  3  4 0.3270 0.4288  6.555
 7.5GY  3  6 0.3333 0.4967  6.555
 7.5GY  3  8 0.3341 0.5700  6.555
 7.5GY  3 10 0.3266 0.6448  6.555
  10GY  3  2 0.3088 0.3578  6.555
  10GY  3  4 0.3053 0.4123  6.555
  10GY  3  6 0.2992 0.4717  6.555
  10GY  3  8 0.2887 0.5361  6.555
  10GY  3 10 0.2724 0.6026  6.555
  10GY  3 12 0.2531 0.6700  6.555
  10GY  3 14 0.2283 0.7423  6.555
  2.5G  3  2 0.2999 0.3500  6.555
  2.5G  3  4 0.2836 0.3915  6.555
  2.5G  3  6 0.2642 0.4342  6.555
  2.5G  3  8 0.2435 0.4752  6.555
  2.5G  3 10 0.2170 0.5211  6.555
  2.5G  3 12 0.1902 0.5642  6.555
  2.5G  3 14 0.1626 0.6052  6.555
  2.5G  3 16 0.1341 0.6420  6.555
  2.5G  3 18 0.1049 0.6766  6.555
  2.5G  3 20 0.0720 0.7127  6.555
  2.5G  3 22 0.0390 0.7468  6.555
    5G  3  2 0.2935 0.3439  6.555
    5G  3  4 0.2711 0.3780  6.555
    5G  3  6 0.2471 0.4100  6.555
    5G  3  8 0.2228 0.4380  6.555
    5G  3 10 0.1935 0.4682  6.555
    5G  3 12 0.1660 0.4948  6.555
    5G  3 14 0.1382 0.5197  6.555
    5G  3 16 0.1120 0.5414  6.555
    5G  3 18 0.0882 0.5605  6.555
    5G  3 20 0.0620 0.5802  6.555
    5G  3 22 0.0340 0.6011  6.555
  7.5G  3  2 0.2890 0.3391  6.555
  7.5G  3  4 0.2618 0.3667  6.555
  7.5G  3  6 0.2346 0.3901  6.555
  7.5G  3  8 0.2088 0.4101  6.555
  7.5G  3 10 0.1800 0.4310  6.555
  7.5G  3 12 0.1516 0.4505  6.555
  7.5G  3 14 0.1262 0.4667  6.555
  7.5G  3 16 0.1023 0.4818  6.555
  7.5G  3 18 0.0798 0.4954  6.555
  7.5G  3 20 0.0568 0.5082  6.555
  7.5G  3 22 0.0332 0.5206  6.555
   10G  3  2 0.2844 0.3337  6.555
   10G  3  4 0.2525 0.3537  6.555
   10G  3  6 0.2240 0.3699  6.555
   10G  3  8 0.1970 0.3841  6.555
   10G  3 10 0.1688 0.3974  6.555
   10G  3 12 0.1411 0.4095  6.555
