"Code","ID","Meaning"
65,5,boatyard
65,6,public inn
65,7,restaurant
65,8,chandler
65,9,provisions
65,10,doctor
65,11,pharmacy
65,12,water tap
65,13,fuel station
65,14,electricity
65,15,bottle gas
65,16,showers
65,17,launderette
65,18,public toilets
65,19,post box
65,20,public telephone
65,21,refuse bin
65,22,car park
65,23,parking for boats and trailers
65,24,caravan site
65,25,camping site
65,26,sewerage pump-out station
65,27,emergency telephone
65,28,landing / launching place for boats
65,29,visitors mooring
65,30,scrubbing berth
65,31,picnic area
66,1,firing danger area mark
66,2,target mark
66,3,marker ship mark
66,4,degaussing range mark
66,5,barge mark
66,6,cable mark
66,7,spoil ground mark
66,8,outfall mark
66,9,ODAS (Ocean-Data-Acquisition-System)
66,10,recording mark
66,11,seaplane anchorage mark
66,12,recreation zone mark
66,13,private mark
66,14,mooring mark
66,15,LANBY (Large Automatic Navigational Buoy)
66,16,leading mark
66,17,measured distance mark
66,18,notice mark
66,19,TSS mark (Traffic Separation Scheme)
66,20,anchoring prohibited mark
66,21,berthing prohibited mark
66,22,overtaking prohibited mark
66,23,two-way traffic prohibited mark
66,24,'reduced wake' mark
66,25,speed limit mark
66,26,stop mark
66,27,general warning mark
66,28,'sound ship's siren' mark
66,29,restricted vertical clearence mark
66,30,maximum vessel's draught mark
66,31,restricted horizontal clearance mark
66,32,strong current warning mark
66,33,berthing permitted mark
66,34,overhead power cable mark
66,35,'channel edge gradient' mark
66,36,telephone mark
66,37,ferry crossing mark
66,39,pipline mark
66,40,anchorage mark
66,41,clearing mark
66,42,control mark
66,43,diving mark
66,44,refuge beacon
66,45,foul ground mark
66,46,yachting mark
66,47,heliport mark
66,48,GPS mark
66,49,seaplane landing mark
66,50,entry prohibited mark
66,51,work in progress mark
66,52,mark with unknown purpose
67,1,IMO - adopted
67,2,not IMO - adopted
68,1,grassland
68,3,bush
68,4,deciduous wood
68,5,coniferous  wood
68,6,wood in general (inc mixed wood)
68,7,mangroves
68,10,mixed crops
68,11,reed
68,12,moos
68,13,tree in general
68,14,evergreen tree
68,15,coniferous tree
68,16,palm tree
68,17,nipa palm tree
68,18,casuarina tree
68,19,eucalypt tree
68,20,deciduous tree
68,21,mangrove tree
68,22,filao tree
69,1,breakers
69,2,eddies
69,3,overfalls
69,4,tide rips
69,5,bombora
70,1,kelp
70,2,sea weed
70,3,sea grass
70,4,saragasso
71,1,non-dangerous wreck
71,2,dangerous wreck
71,3,distributed remains of wreck
71,4,wreck showing mast/masts
71,5,wreck showing any portion of hull or superstructure
72,1,zone of confidence A1
72,2,zone of confidence A2
72,3,zone of confidence B
72,4,zone of confidence C
72,5,zone of confidence D
72,6,zone of confidence U (data not assessed)
73,1,expanded/condensed
73,2,standard
75,1,white
75,2,black
75,3,red
75,4,green
75,5,blue
75,6,yellow
75,7,grey
75,8,brown
75,9,amber
75,10,violet
75,11,orange
75,12,magenta
75,13,pink
76,1,horizontal stripes
76,2,vertical stripes
76,3,diagonal stripes
76,4,squared
76,5,stripes (direction unknown)
76,6,border stripes
81,1,under construction
81,2,ruined
81,3,under reclamation
81,4,wingless
81,5,planned construction
82,1,radar conspicuous
82,2,not radar conspicuous
82,3,radar conspicuous (has radar reflector)
83,1,visual conspicuous
83,2,not visual conspicuous
89,1,metres
89,2,fathoms and feet
89,3,feet
89,4,fathoms and fractions
92,1,light shown without change of character
92,2,daytime light
92,3,fog light
92,4,night light
93,1,within the range of depth of the surrounding depth area
93,2,shoaler than range of depth of the surrounding depth area
93,3,deeper than range of depth of the surrounding depth area
94,2,harbour-master's office
94,3,custom office
94,4,health office
94,5,hospital
94,6,post office
94,7,hotel
94,8,railway station
94,9,police station
94,10,water-police station
94,11,pilot office
94,12,pilot lookout
94,13,bank office
94,14,headquarters for district control
94,15,transit shed/warehouse
94,16,factory
94,17,power station
94,18,administrative
94,19,educational facility
94,20,church
94,21,chapel
94,22,temple
94,23,pagoda
94,24,shinto shrine
94,25,buddhist temple
94,26,mosque
94,27,marabout
94,28,lookout
94,29,communication
94,30,television
94,31,radio
94,32,radar
94,33,light support
94,34,microwave
94,35,cooling
94,36,observation
94,37,timeball
94,38,clock
94,39,control
94,40,airship mooring
94,41,stadium
94,42,bus station
96,1,metres
96,2,feet
103,1,international
103,2,national
103,3,national sub-division
104,1,centre justified
104,2,right justified
104,3,left justified
105,1,bottom justified
105,2,centre justified
105,3,top justified
107,1,fixed
107,2,flashing
107,3,long-flashing
107,4,quick-flashing
107,5,very quick-flashing
107,6,ultra quick-flashing
107,7,isophased
107,8,occulting
107,9,interrupted quick-flashing
107,10,interrupted very quick-flashing
107,11,interrupted ultra quick-flashing
107,12,morse
107,13,fixed / flash
107,14,flash / long-flash
107,15,occulting / flash
107,16,fixed / long-flash
107,17,occulting alternating
107,18,long-flash alternating
107,19,flash alternating
107,20,group alternating
107,25,quick-flash plus long-flash
107,26,very quick-flash plus long-flash
107,27,ultra quick-flash plus long-flash
107,28,alternating
107,29,fixed and alternating flashing
108,1,high intensity
108,2,low intensity
108,3,faint
108,4,intensified
108,5,unintensified
108,6,visibility deliberately restricted
108,7,obscured
108,8,partially obscured
109,1,IALA A
109,2,IALA B
109,9,no system
109,10,other sytem
112,1,masonry
112,2,concreted
112,3,loose boulders
112,4,hard surfaced
112,5,unsurfaced
112,6,wooden
112,7,metal
112,8,glass reinforced plastic (GRP)
112,9,painted
113,1,mud
113,2,clay
113,3,silt
113,4,sand
113,5,stone
113,6,gravel
113,7,pebbles
113,8,cobbles
113,9,rock
113,11,lava
113,14,coral
113,17,shells
113,18,boulder
114,1,fine
114,2,medium
114,3,coarse
114,4,broken
114,5,sticky
114,6,soft
114,7,stiff
114,8,volcanic
114,9,calcareous
114,10,hard
123,1,oil
123,2,gas
123,3,water
123,4,stone
123,5,coal
123,6,ore
123,7,chemicals
123,8,drinking water
123,9,milk
123,10,bauxite
123,11,coke
123,12,iron ingots
123,13,salt
123,14,sand
123,15,timber
123,16,sawdust / wood chips
123,17,scrap metal
123,18,liquified natural gas (LNG)
123,19,liquified petroleum gas (LPG)
123,20,wine
123,21,cement
123,22,grain
125,1,depth known
125,2,depth unknown
125,3,doubtful sounding
125,4,unreliable sounding
125,5,no bottom found at value shown
125,6,least depth known
125,7,"least depth unknown, safe clearance at value shown"
125,8,value reported (not surveyed)
125,9,value reported (not confirmed)
125,10,maintained depth
125,11,not reguraly maintained
131,1,anchoring prohibited
131,2,anchoring restricted
131,3,fishing prohibited
131,4,fishing restricted
131,5,trawling prohibited
131,6,trawling restricted
131,7,entry prohibited
131,8,entry restricted
131,9,dredging prohibited
131,10,dredging restricted
131,11,diving prohibited
131,12,diving restricted
131,13,no wake
131,14,area to be avoided
131,15,construction prohibited
140,1,automatically
140,2,by wave action
140,3,by hand
140,4,by wind
149,1,permanent
149,2,occasional
149,3,recommended
149,4,disused
149,5,periodically/intermittent
149,6,reserved
149,7,temporary
149,8,private
149,9,mandatory
149,11,extinguished
149,12,illuminated
149,13,historic
149,14,public
149,15,synchronized
149,16,watched
149,17,un-watched
149,18,existence doubtful
153,1,reconnaissance/sketch survey
153,2,controlled survey
153,4,examintion survey
153,5,passage survey
153,6,remotely sensed
156,1,found by echo-sounder
156,2,found by side scan sonar
156,3,found by multi-beam
156,4,found by diver
156,5,found by lead-line
156,6,swept by wire-drag
156,7,found by laser
156,8,swept by vertical acoustic system
156,9,found by electromagnetic sensor
156,10,photogrammetry
156,11,satelite imagery
156,12,found by levelling
156,13,swept by side-scan sonar
156,14,computer generated
161,1,better than 0.1m and 10 minutes
161,2,worse than 0.1m or 10 minutes
163,1,simplified harmonic method of tidal prediction
163,2,full harmonic method of tidal prediction
163,3,height and time difference non-harmonic method
170,1,darkest blue
170,2,medium blue
170,3,lightest blue
171,1,"cone, point up"
171,2,"cone, point down"
171,3,sphere
171,4,2 sphere
171,5,cylinder (can)
171,6,board
171,7,x-shape (St. Andrew's cross)
171,8,upright cross (St. George cross)
171,9,"cube, point up"
171,10,"2 cones, point to point"
171,11,"2 cones, base to base"
171,12,rhombus (diamond)
171,13,2 cones (points upward)
171,14,2 cones (points downward)
171,15,"besom, point up (broom or perch)"
171,16,"besom, point down (broom or perch)"
171,17,flag
171,18,sphere over rhombus
171,19,square
171,20,"rectangle, horizontal"
171,21,"rectangle, vertical"
171,22,"trapezium, up"
171,23,"trapezium, down"
171,24,"triangle, point up"
171,25,"triangle, point down"
171,26,circle
171,27,two upright crosses (one over the other)
171,28,T-shape
171,29,triangle pointing up over a circle
171,30,upright cross over a circle
171,31,rhombus over a circle
171,32,circle over a triangle pointing up
171,33,other shape (see INFORM)
172,1,inbound
172,2,outbound
172,3,one-way
172,4,two-way
185,1,Mean low water springs
185,2,Mean lower low water springs
185,3,Mean sea level
185,4,Lowest low water
185,5,Mean low water
185,6,Lowest low water springs
185,7,Approximate mean low water springs
185,8,Indian spring low water
185,9,Low water springs
185,10,Approximate lowest astronomical tide
185,11,Nearly lowest low water
185,12,Mean lower low water
185,13,Low water
185,14,Approximate mean low water
185,15,Approximate mean lower low water
185,16,Mean high water
185,17,Mean high water springs
185,18,High water
185,19,Approximate mean sea level
185,20,High water springs
185,21,Mean higher high water
185,22,Equinoctial spring low water
185,23,Lowest astronomical tide
185,24,Local datum
185,25,International Great Lakes Datum 1985
185,26,Mean water level
185,27,Lower low water large tide
185,28,Higher high water lage tide
185,29,Nearly highest high water
187,1,partly submerged at high water
187,2,always dry
187,3,always under water/submerged
187,4,covers and uncovers
187,5,awash
187,6,subject to inundation or flooding
400,1,WGS 72
400,2,WGS 84
400,3,European 1950
400,4,Potsdam Datum
400,5,Adindan
400,6,Afgooye
400,7,Ain el Abd 1970
400,8,Anna 1 Astro 1965
400,9,Antigua Island Astro 1943
400,10,Arc 1950
400,11,Arc 1960
400,12,Ascension Island 1958
400,13,"Astro beacon \"E\" 1945"
400,14,Astro DOS 71/4
400,15,Astro Tern Island (FRIG) 1961
400,16,Astronimical Station 1952
400,17,Australian Geodetic 1966
400,18,Australian Geodetic 1984
400,19,Ayabelle Lighthouse
400,20,Bellevue (IGN)
400,21,Bermuda 1957
400,22,Bissau
400,23,Bogota Observatory
400,24,Bukit Rimpah
400,25,Camp Area Astro
400,26,Campo Inchauspe 1969
400,27,Canton Astro 1966
400,28,Cape
400,29,Cape Canaveral
400,30,Carthage
400,31,Chatam Island Astro 1971
400,32,Chua Astro
400,33,Corrego Alegre
400,34,Dabola
400,35,Djakarta (Batavia)
400,36,DOS 1968
400,37,Easter Island 1967
400,38,European 1979
400,39,Fort Thomas 1955
400,40,Gan 1970
400,41,Geodetic Datum 1949
400,42,Graciosa Base SW 1948
400,43,Guam 1963
400,44,Ganung Segara
400,45,GUX 1 Astro
400,46,Herat North
400,47,Hjorsey 1955
400,48,Hong Kong 1963
400,49,Hu-Tzu-Shan
400,50,Indian
400,51,Indian 1954
400,52,Indian 1975
400,53,Ireland 1965
400,54,ISTS 061 Astro 1968
400,55,ISTS 073 Astro 1969
400,56,Johnston Island 1961
400,57,Kandawala
400,58,Kerguelen Island 1949
400,59,Kertau 1948
400,60,Kusaie Astro 1951
400,61,
400,62,
400,63,
400,64,
400,65,
400,66,
400,67,
400,68,
400,69,
400,70,
400,71,
400,72,
400,73,
400,74,
400,75,
400,76,
400,77,
400,78,
400,79,
400,80,
400,81,
400,82,
400,83,
400,84,
400,85,
400,86,
400,87,
400,88,
400,89,
400,90,
400,91,
400,92,
400,93,
400,94,
400,95,
400,96,
400,97,
400,98,
400,99,South Asia
400,100,Tananarive Observatory 1925
402,1,surveyed
402,2,unsurveyed
402,3,inadequately surveyed
402,4,approximated
402,5,position doubtful
402,6,unreliable
402,7,reported (not surveyed)
402,8,reported (not confirmed)
402,9,estimated
402,10,precisely known
402,11,calculated
