session,start,end,sessionName,room,seats,speaker,presentation
Session 1,01.07.2015 10:30,01.07.2015 12:00,Interfacing,Radiosalen,216,Karl Millar,CXXR: Modernizing the R Interpreter
Session 1,01.07.2015 10:30,01.07.2015 12:00,Interfacing,Radiosalen,216,Matt P. Dziubinski,Naturally Sweet Rcpp with Modern C++ and Boost
Session 1,01.07.2015 10:30,01.07.2015 12:00,Interfacing,Radiosalen,216,Dan Putler,Linking R to the Spark MLlib Machine Learning Library
Session 2,01.07.2015 13:30,01.07.2015 15:00,Kaleidoscope 2,Aalborghallen,790,Przemyslaw Biecek,"archivist: Tools for Storing, Restoring and Searching for R Objects"
Session 2,01.07.2015 13:30,01.07.2015 15:00,Kaleidoscope 2,Aalborghallen,790,Joseph B. Rickert,R User Groups
Session 2,01.07.2015 13:30,01.07.2015 15:00,Kaleidoscope 2,Aalborghallen,790,Richard M. Heiberger,Computational Precision and Floating-Point Arithmetic: A Teacher's Guide to Answering FAQ 7.31
Session 2,01.07.2015 13:30,01.07.2015 15:00,Kaleidoscope 2,Aalborghallen,790,Rasmus Bååth,"Tiny Data, Approximate Bayesian Computation and the Socks of Karl Broman"
Session 2,01.07.2015 13:30,01.07.2015 15:00,Case study,Gæstesalen,149,Johannes Breidenbach,Using R for small area estimation in the Norwegian National Forest Inventory
Session 2,01.07.2015 13:30,01.07.2015 15:00,Case study,Gæstesalen,149,Ivan Kasanický,Using R for natural gas market balancing in the Czech republic
Session 2,01.07.2015 13:30,01.07.2015 15:00,Case study,Gæstesalen,149,Jakob W. Messner,Heteroscedastic censored and truncated regression for weather forecasting
Session 2,01.07.2015 13:30,01.07.2015 15:00,Case study,Gæstesalen,149,Helle Sørensen,Multinomial functional regression with application to lameness detection for horses
Session 2,01.07.2015 13:30,01.07.2015 15:00,Clustering,Musiksalen,160,Anders Ellern Bilgrau,Unsupervised Clustering and Meta-Analysis using Gaussian Mixture Copula Models
Session 2,01.07.2015 13:30,01.07.2015 15:00,Clustering,Musiksalen,160,Claudia Beleites,Hierarchical Cluster Analysis of hyperspectral Raman images: a new point of view leads to 10000fold speedup
Session 2,01.07.2015 13:30,01.07.2015 15:00,Clustering,Musiksalen,160,Silvia Liverani,Dirichlet process Bayesian clustering with the R package PReMiuM
Session 2,01.07.2015 13:30,01.07.2015 15:00,Clustering,Musiksalen,160,Thomas Jagger,Examining the Environmental Characteristics of Tornado Outbreaks in the United States using Spatial Clustering
Session 2,01.07.2015 13:30,01.07.2015 15:00,Data Management,Det lille Teater,224,Filip Schouwenaars,Taking testing to another level: testwhat
Session 2,01.07.2015 13:30,01.07.2015 15:00,Data Management,Det lille Teater,224,Tony Fischetti,Failing fast and early: assertive/defensive programming for R data analysis pipelines
Session 2,01.07.2015 13:30,01.07.2015 15:00,Data Management,Det lille Teater,224,Hadley Wickham,Getting your data into R
Session 2,01.07.2015 13:30,01.07.2015 15:00,Data Management,Det lille Teater,224,Christoph Glur,A better way to manage hierarchical data
Session 2,01.07.2015 13:30,01.07.2015 15:00,Data Management,Det lille Teater,224,"Indrajit Roy, Michael Lawrence",A proposal for distributed data-structures in R
Session 2,01.07.2015 13:30,01.07.2015 15:00,Computational Performance,Radiosalen,216,E. James Harner,Running R+Hadoop using Docker Containers
Session 2,01.07.2015 13:30,01.07.2015 15:00,Computational Performance,Radiosalen,216,Matt P. Dziubinski,Algorithmic Differentiation for Extremum Estimation: An Introduction Using RcppEigen
Session 2,01.07.2015 13:30,01.07.2015 15:00,Computational Performance,Radiosalen,216,Kirill Müller,Improving computational performance with algorithm engineering
Session 2,01.07.2015 13:30,01.07.2015 15:00,Computational Performance,Radiosalen,216,Helena Kotthaus,Performance Analysis for Parallel R Programs: Towards Efficient Ressource Utilization
Session 2,01.07.2015 13:30,01.07.2015 15:00,Computational Performance,Radiosalen,216,David Scott,Refactoring the xtable Package
Session 3,01.07.2015 16:00,01.07.2015 17:30,Kaleidoscope 3,Aalborghallen,790,Friedrich Schuster,Coding for the enterprise server - what does it mean for you?
Session 3,01.07.2015 16:00,01.07.2015 17:30,Kaleidoscope 3,Aalborghallen,790,Lukas Stadler,R as a citizen in a polyglot world - the promise of the Truffle framework
Session 3,01.07.2015 16:00,01.07.2015 17:30,Kaleidoscope 3,Aalborghallen,790,Tobias Verbeke,Architect. An IDE for Data Science and R
Session 3,01.07.2015 16:00,01.07.2015 17:30,Kaleidoscope 3,Aalborghallen,790,Balasubramanian Narasimhan,Distributed computing with R
Session 3,01.07.2015 16:00,01.07.2015 17:30,Business,Gæstesalen,149,Peter Baker,Statistical consulting using R: a DRY approach from the Australian outback
Session 3,01.07.2015 16:00,01.07.2015 17:30,Business,Gæstesalen,149,Stefan Milton Bache,Using R in Production
Session 3,01.07.2015 16:00,01.07.2015 17:30,Business,Gæstesalen,149,Giuseppe Bruno,Hedging and Risk Management of CDOs portfolio with R
Session 3,01.07.2015 16:00,01.07.2015 17:30,Business,Gæstesalen,149,Jim Porzak,Data Driven Customer Segmentation with R
Session 3,01.07.2015 16:00,01.07.2015 17:30,Spatial,Musiksalen,160,Ian Cook,Bringing Geospatial Tasks into the Mainstream of Business Analytics
Session 3,01.07.2015 16:00,01.07.2015 17:30,Spatial,Musiksalen,160,Jin Li,Novel hybrid spatial predictive methods of machine learning and geostatistics with applications to terrestrial and marine environments in Australia
Session 3,01.07.2015 16:00,01.07.2015 17:30,Spatial,Musiksalen,160,Matthias Eckardt,Graphical Modelling of Multivariate Spatial Point Patterns
Session 3,01.07.2015 16:00,01.07.2015 17:30,Spatial,Musiksalen,160,Virgilio Gomez-Rubio,Spatial Econometrics Models with R-INLA
Session 3,01.07.2015 16:00,01.07.2015 17:30,Spatial,Det lille Teater,224,Sebastian Meyer,Spatio-Temporal Analysis of Epidemic Phenomena Using the R Package surveillance
Session 3,01.07.2015 16:00,01.07.2015 17:30,Databases,Det lille Teater,224,Willem Ligtenberg,Rango - Databases made easy
Session 3,01.07.2015 16:00,01.07.2015 17:30,Databases,Det lille Teater,224,Hannes Mühleisen,Ad-Hoc User-Defined Functions for MonetDB with R
Session 3,01.07.2015 16:00,01.07.2015 17:30,Databases,Det lille Teater,224,Mateusz Zoltak,R database connectivity: what did we leave behind?
Session 3,01.07.2015 16:00,01.07.2015 17:30,Databases,Radiosalen,216,Jeroen Ooms,jsonlite and mongolite
Session 3,01.07.2015 16:00,01.07.2015 17:30,Databases,Radiosalen,216,Michael Wurst,Using R Efficiently with Large Databases
Session 4,02.07.2015 10:30,02.07.2015 11:00,Kaleidoscope 4,Radiosalen,216,A. Jonathan R. Godfrey,While my base R gently weeps
Session 4,02.07.2015 10:30,02.07.2015 11:00,Kaleidoscope 4,Radiosalen,216,Amitai Golub,Rapid Deployment of Automatic Scoring Models to Hadoop Production Systems
Session 4,02.07.2015 10:30,02.07.2015 11:00,Kaleidoscope 4,Aalborghallen,790,Matt Dowle,"Fast, stable and scalable true radix sorting"
Session 4,02.07.2015 10:30,02.07.2015 11:00,Kaleidoscope 4,Aalborghallen,790,Arunkumar Srinivasan,"Fast, flexible and memory efficient data manipulation using data.table"
Session 4,02.07.2015 10:30,02.07.2015 11:00,Medicine,Gæstesalen,149,Marvin Steijaert,Phenotypic deconvolution: the next frontier in pharma
Session 4,02.07.2015 10:30,02.07.2015 11:00,Medicine,Gæstesalen,149,Lara Lusa,medplot: A Web Application for Dynamic Summary and Analysis of Longitudinal Medical Data Based on R and shiny
Session 4,02.07.2015 10:30,02.07.2015 11:00,Medicine,Gæstesalen,149,Paul Metcalfe,Using R and free software to improve the delivery of life changing medicine to patients
Session 4,02.07.2015 10:30,02.07.2015 11:00,Medicine,Gæstesalen,149,Heidi Seibold,Stratified medicine using the partykit package
Session 4,02.07.2015 10:30,02.07.2015 11:00,Regression,Musiksalen,160,Han Lin Shang,The ilc package
Session 4,02.07.2015 10:30,02.07.2015 11:00,Regression,Musiksalen,160,Andrew Bray,Approximately Exact Calculations for Linear Mixed Models
Session 4,02.07.2015 10:30,02.07.2015 11:00,Regression,Musiksalen,160,Alexandra Kuznetsova,Shiny application for analyzing consumer preference and sensory data in a mixed effects model framework: introducing SensMixed package
Session 4,02.07.2015 10:30,02.07.2015 11:00,Regression,Musiksalen,160,Chenjerai Kathy Mutambanengwe,Spatial regression of quantiles based on parametric distributions
Session 4,02.07.2015 10:30,02.07.2015 11:00,Regression,Det lille Teater,224,Helen Ogden,glmmsr: fitting GLMMs with sequential reduction
Session 4,02.07.2015 10:30,02.07.2015 11:00,Commercial Offerings,Det lille Teater,224,Michael Sannella,Supporting the Rapi C-language API in an R-compatible engine 
Session 4,02.07.2015 10:30,02.07.2015 11:00,Commercial Offerings,Det lille Teater,224,Woo J. Jung,Enabling R for Big Data with PL/R and PivotalR: Real World Examples on Hadoop & MPP Databases
Session 4,02.07.2015 10:30,02.07.2015 11:00,Commercial Offerings,Det lille Teater,224,Ron Pearson,The DataRobot R Package
Session 4,02.07.2015 10:30,02.07.2015 11:00,Commercial Offerings,Det lille Teater,224,Lou Bajuk-Yorgan,Applying the R Language in Streaming Applications and Business Intelligence
Session 4,02.07.2015 10:30,02.07.2015 11:00,Interactive graphics,Radiosalen,216,Monika Huhn,D3 and R Shiny - Making your graphs come to life
Session 4,02.07.2015 10:30,02.07.2015 11:00,Interactive graphics,Radiosalen,216,Michael Sachs,Interactive Graphics with ggplot2 and gridSVG
Session 4,02.07.2015 10:30,02.07.2015 11:00,Interactive graphics,Radiosalen,216,Joe Cheng,Interactive visualization using htmlwidgets and Shiny
Session 4,02.07.2015 10:30,02.07.2015 11:00,Interactive graphics,Radiosalen,216,Adrian Waddell,Interactive Data Visualization using the Loon package
Session 4,02.07.2015 10:30,02.07.2015 11:00,Interactive graphics,Radiosalen,216,Wayne Oldford,New interactive visualization tools for exploring high dimensional data in R
Session 5,02.07.2015 13:00,02.07.2015 14:30,Kaleidoscope 5,Aalborghallen,790,Aimee Gott,Formalising R Development - ValidR Enterprise
Session 5,02.07.2015 13:00,02.07.2015 14:30,Kaleidoscope 5,Aalborghallen,790,Christoph Best,Integrating R with the Go programming language using interprocess communication
Session 5,02.07.2015 13:00,02.07.2015 14:30,Kaleidoscope 5,Aalborghallen,790,Jennifer Bryan,Fun times with R and Google Sheets
Session 5,02.07.2015 13:00,02.07.2015 14:30,Kaleidoscope 5,Aalborghallen,790,Jonathan Digby-North,A Comparative Study of Complex Estimation Software
Session 5,02.07.2015 13:00,02.07.2015 14:30,Kaleidoscope 5,Aalborghallen,790,Oliver Keyes,Software Standards in the R Community: An Analysis
Session 5,02.07.2015 13:00,02.07.2015 14:30,Teaching 1,Gæstesalen,149,Miranda Y Mortlock,SWOT analysis on using R for online training
Session 5,02.07.2015 13:00,02.07.2015 14:30,Teaching 1,Gæstesalen,149,Eric Hare,Manipulation of Discrete Random Variables in R with discreteRV
Session 5,02.07.2015 13:00,02.07.2015 14:30,Teaching 1,Gæstesalen,149,Matthias Gehrke,Teaching R in heterogeneous settings: Lessons learned
Session 5,02.07.2015 13:00,02.07.2015 14:30,Teaching 1,Gæstesalen,149,Chris Wild,Interactive applications written in R to accelerate statistical learning
Session 5,02.07.2015 13:00,02.07.2015 14:30,Teaching 1,Gæstesalen,149,James Curran,Classroom experiments
Session 5,02.07.2015 13:00,02.07.2015 14:30,Statistical Methodology 1,Musiksalen,160,Thomas Kiefer,TAM: An R Package for Item Response Modelling
Session 5,02.07.2015 13:00,02.07.2015 14:30,Statistical Methodology 1,Musiksalen,160,Genaro Sucarrat,gets: General-to-Specific (GETS) Modelling
Session 5,02.07.2015 13:00,02.07.2015 14:30,Statistical Methodology 1,Musiksalen,160,Thouvenot Vincent,R Package CASA: Component Automatic Selection in Additive models
Session 5,02.07.2015 13:00,02.07.2015 14:30,Statistical Methodology 1,Musiksalen,160,Christian Ritz,Dose-response analysis using R revisited
Session 5,02.07.2015 13:00,02.07.2015 14:30,Statistical Methodology 1,Musiksalen,160,Kaylea Haynes,Changepoints over a Range of Penalties using the changepoint package
Session 5,02.07.2015 13:00,02.07.2015 14:30,Machine Learning 1,Det lille Teater,224,"Neda Daneshgar, Majid Sarmad",Word Alignment tools in R
Session 5,02.07.2015 13:00,02.07.2015 14:30,Machine Learning 1,Det lille Teater,224,Markus Loecher,Rapid detection of spatiotemporal clusters
Session 5,02.07.2015 13:00,02.07.2015 14:30,Machine Learning 1,Det lille Teater,224,"Arash Fard, Vishrut Gupta",Scalable distributed random-forest in R
Session 5,02.07.2015 13:00,02.07.2015 14:30,Machine Learning 1,Det lille Teater,224,Marie Chavent,Multivariate analysis of mixed data: The PCAmixdata R package
Session 5,02.07.2015 13:00,02.07.2015 14:30,Machine Learning 1,Det lille Teater,224,Natalia da Silva,PPforest
Session 5,02.07.2015 13:00,02.07.2015 14:30,Visualisation 1,Radiosalen,216,Katrin Grimm,Reordering and selecting continuous variables for scatterplot matrices
Session 5,02.07.2015 13:00,02.07.2015 14:30,Visualisation 1,Radiosalen,216,Kirsten Van Hoorde,R-package to assess and visualize the calibration of multiclass risk predictions
Session 5,02.07.2015 13:00,02.07.2015 14:30,Visualisation 1,Radiosalen,216,Martijn Tennekes,tmap: creating thematic maps in a flexible way
Session 5,02.07.2015 13:00,02.07.2015 14:30,Visualisation 1,Radiosalen,216,Tal Galili,"The dendextend R package for manipulation of dendograms,visualization and comparison"
Session 6,02.07.2015 16:00,02.07.2015 17:30,Kaleidoscope 6,Aalborghallen,790,Gabor Csardi,The METACRAN experiment
Session 6,02.07.2015 16:00,02.07.2015 17:30,Kaleidoscope 6,Aalborghallen,790,Pedro J. Aphalo,Using R in photobiology
Session 6,02.07.2015 16:00,02.07.2015 17:30,Kaleidoscope 6,Aalborghallen,790,Sven Jesper Knudsen,Industrial Big Data Analytics for Wind Turbines
Session 6,02.07.2015 16:00,02.07.2015 17:30,Kaleidoscope 6,Aalborghallen,790,Andrie de Vries,The Network Structure of R Packages
Session 6,02.07.2015 16:00,02.07.2015 17:30,Teaching 2,Gæstesalen,149,Gail Potter,Web Application Teaching Tools for Statistics Using Shiny and R
Session 6,02.07.2015 16:00,02.07.2015 17:30,Teaching 2,Gæstesalen,149,an online,Teaching R in
Session 6,02.07.2015 16:00,02.07.2015 17:30,Teaching 2,Gæstesalen,149,Jonathan Cornelissen,class
Session 6,02.07.2015 16:00,02.07.2015 17:30,Teaching 2,Gæstesalen,149,Colin Rundel,Teaching R using the github ecosystem
Session 6,02.07.2015 16:00,02.07.2015 17:30,Teaching 2,Musiksalen,160,Mine Cetinkaya-Rundel,"Using R, RStudio, and Docker for introductory statistics teaching"
Session 6,02.07.2015 16:00,02.07.2015 17:30,Statistical Methodology 2,Musiksalen,160,Christoph Sax,seasonal: An X-13 interface for seasonal adjustment
Session 6,02.07.2015 16:00,02.07.2015 17:30,Statistical Methodology 2,Musiksalen,160,Sören Möller,Estimating the Linfoot correlation in R
Session 6,02.07.2015 16:00,02.07.2015 17:30,Statistical Methodology 2,Musiksalen,160,Alexander Kowarik,Seasonal Adjustment with the R packages x12 and x12GUI
Session 6,02.07.2015 16:00,02.07.2015 17:30,Statistical Methodology 2,Det lille Teater,224,Il Do Ha,frailtyHL: R package for variable selection in general frailty models for various survival data
Session 6,02.07.2015 16:00,02.07.2015 17:30,Machine Learning 2,Det lille Teater,224,Jan Wijffels,Massive Online Data Stream Mining using R and MOA
Session 6,02.07.2015 16:00,02.07.2015 17:30,Machine Learning 2,Det lille Teater,224,Søren Havelund Welling,forestFloor: a package to visualize and comprehend the full curvature of random forests
Session 6,02.07.2015 16:00,02.07.2015 17:30,Machine Learning 2,Det lille Teater,224,Douglas Mason,Machine Learning for Internal Product Measurement
Session 6,02.07.2015 16:00,02.07.2015 17:30,Machine Learning 2,Det lille Teater,224,Erin LeDell,h2oEnsemble for Scalable Ensemble Learning in R
Session 6,02.07.2015 16:00,02.07.2015 17:30,Visualisation 2,Radiosalen,216,Thomas Levine,Plotting data as music videos in R
Session 6,02.07.2015 16:00,02.07.2015 17:30,Visualisation 2,Radiosalen,216,Eric Bonnet,NaviCell Web Service for Network-based Data Visualization
Session 6,02.07.2015 16:00,02.07.2015 17:30,Visualisation 2,Radiosalen,216,Laure Cougnaud,Easy visualizations of high-dimensional genomic data
Session 6,02.07.2015 16:00,02.07.2015 17:30,Visualisation 2,Radiosalen,216,Paul Murrell,The gridGraphics Package
