Date Time Date2 Time2 CSEId name id lat long elev press temp dew rhum shum speed dir u v rain snow sflux lflux isr osr ilr olr rad skin co2 inpar outpar
2001/07/01 00:00 2001/07/01 00:00 CAMP       46777           Wuchi             24.26000   120.52000    7.20 1005.50   29.50   24.20   73.00   18.89    1.70   40.00   -1.09   -1.30    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46706           Suao              24.60000   121.86000   24.90 1006.10   31.30   21.50   56.00   16.01    5.10  170.00   -0.89    5.02    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46708           Ilan              24.77000   121.75000    7.20 1007.60   30.50   24.30   70.00   18.97    1.50   50.00   -1.15   -0.96    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46757           Hsinchu           24.83000   121.01000   26.90 1005.20   29.20   25.10   79.00   19.96    0.30   90.00   -0.30    0.00    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46692           Taipei            25.03000   121.52000    8.00 1007.60   29.80   22.90   67.00   17.42    0.30  240.00    0.26    0.15    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46694           Keelung           25.13000   121.73000   26.70 1005.20   30.30   24.80   72.00   19.60    2.20   40.00   -1.41   -1.69    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46693           Chutzehu          25.16000   121.54000  607.00  941.80   25.00   22.10   84.00   17.76    0.60  340.00    0.21   -0.56    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46690           Tanshui           25.17000   121.43000   19.00 1006.00   29.30   25.80   81.00   20.80    0.70  280.00    0.69   -0.12    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46691           Anpu              25.18000   121.52000  837.60  918.20   24.10   22.30   90.00   18.44    2.90  350.00    0.50   -2.86    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
2001/07/01 00:00 2001/07/01 00:00 CAMP       46695           Pengchiayu        25.63000   122.07000   99.00  997.20   28.20   24.80   82.00   19.76   13.10  150.00   -6.55   11.34    0.00 -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99  -999.99
